Date,Daily Cases by Reported Date,Cases Currently in Hospital,Cases Currently in ICU
2020-02-10,,1,0
2020-02-11,,1,0
2020-02-12,,1,0
2020-02-13,,1,0
2020-02-14,,1,0
2020-02-15,,1,0
2020-02-16,,1,0
2020-02-17,,1,0
2020-02-18,,1,0
2020-02-19,,1,0
2020-02-20,,1,0
2020-02-21,,1,0
2020-02-22,,1,0
2020-02-23,,1,0
2020-02-24,,1,0
2020-02-25,,1,0
2020-02-26,,1,0
2020-02-27,,1,0
2020-02-28,,1,0
2020-02-29,,1,0
2020-03-01,,1,0
2020-03-02,,1,0
2020-03-03,,1,0
2020-03-04,,1,0
2020-03-05,,1,0
2020-03-06,,1,0
2020-03-07,,1,0
2020-03-08,,1,0
2020-03-09,1,1,0
2020-03-10,,1,0
2020-03-11,,1,0
2020-03-12,3,1,0
2020-03-13,1,1,0
2020-03-14,4,2,0
2020-03-15,4,2,0
2020-03-16,,2,0
2020-03-17,5,4,0
2020-03-18,4,3,0
2020-03-19,1,7,0
2020-03-20,2,10,1
2020-03-21,4,10,1
2020-03-22,6,13,5
2020-03-23,9,17,5
2020-03-24,8,20,7
2020-03-25,8,23,8
2020-03-26,19,25,7
2020-03-27,27,26,9
2020-03-28,26,25,8
2020-03-29,11,31,8
2020-03-30,48,32,12
2020-03-31,51,34,13
2020-04-01,37,33,15
2020-04-02,32,34,14
2020-04-03,26,37,14
2020-04-04,18,43,14
2020-04-05,40,43,13
2020-04-06,40,44,12
2020-04-07,25,45,14
2020-04-08,26,44,16
2020-04-09,25,47,16
2020-04-10,37,48,16
2020-04-11,31,52,19
2020-04-12,35,48,18
2020-04-13,16,50,20
2020-04-14,32,50,20
2020-04-15,60,50,16
2020-04-16,21,52,13
2020-04-17,73,49,13
2020-04-18,31,46,11
2020-04-19,37,47,15
2020-04-20,16,45,13
2020-04-21,51,43,11
2020-04-22,35,45,9
2020-04-23,50,48,11
2020-04-24,38,48,10
2020-04-25,53,49,9
2020-04-26,87,50,9
2020-04-27,87,54,11
2020-04-28,65,60,13
2020-04-29,27,61,13
2020-04-30,30,55,11
2020-05-01,43,57,11
2020-05-02,22,57,12
2020-05-03,23,52,12
2020-05-04,14,51,10
2020-05-05,29,49,9
2020-05-06,23,52,10
2020-05-07,32,54,10
2020-05-08,16,54,8
2020-05-09,12,51,6
2020-05-10,25,52,5
2020-05-11,14,51,5
2020-05-12,13,50,6
2020-05-13,21,47,7
2020-05-14,25,45,6
2020-05-15,17,43,5
2020-05-16,19,41,4
2020-05-17,15,41,2
2020-05-18,25,42,1
2020-05-19,23,39,1
2020-05-20,17,40,1
2020-05-21,11,37,1
2020-05-22,7,35,1
2020-05-23,6,34,0
2020-05-24,8,35,1
2020-05-25,6,34,1
2020-05-26,16,34,1
2020-05-27,8,32,1
2020-05-28,4,30,1
2020-05-29,7,31,1
2020-05-30,15,31,1
2020-05-31,10,34,1
2020-06-01,5,33,1
2020-06-02,8,28,1
2020-06-03,8,23,1
2020-06-04,8,20,0
2020-06-05,15,21,0
2020-06-06,2,21,0
2020-06-07,4,20,0
2020-06-08,,19,0
2020-06-09,3,18,0
2020-06-10,7,17,0
2020-06-11,5,16,0
2020-06-12,10,16,0
2020-06-13,6,16,0
